ㄱㅇㅇ,	‘귀여워’를 초성만으로 표현한 단어.
인플루언서블 세대,	Influenceable + 世代 = 영향력 있는 세대라는 뜻. 대학내일20대연구소가 선정한 2021년 트렌드 키워드로, 자신의 영향력을 알고 행동하는 MZ세대를 뜻함.
일잘러,	일 잘하는 사람을 뜻하는 신조어
일코,	‘일반인 코스프레’의 줄임말. 덕후라는 것을 타인에게 들키지 않도록 행동하는 것을 의미함.
읽페,	‘페이스북 스토리 읽으면 페메(페북 메신저) 보낸다’의 줄임말.
임플로이언서,	Employee+Influencer. 직원으로서 기업의 브랜딩과 이미지에 영향력을 미치는 존재.
입덕,	入(들어갈 입) + 덕질의 합성어. ‘어떤 포인트에 반해서 덕질을 시작하게 되다’라는 뜻.
입틀막,	‘입을 틀어 막다’의 줄임말. 주로 감정이 복받쳐 오를 때 사용함.
ㅈㅂㅈㅇ,	정보좀요의 초성을 따서 만든 MZ세대 신조어. 패션 앱 스타일쉐어에서 상대방에게 제품 정보를 물어볼 때 사용했던 것에서 유래함.
자강두천,	‘자존심 강한 두 천재의 대결’을 줄여 부르는 말. 사소한 일로 투닥이는 것을 뜻함.
자만추,	‘자연스러운 만남 추구’ 줄임말↔소개팅
자캐,	자신이 직접 그리거나 만든 캐릭터
자컨,	‘자체 제작 컨텐츠’의 줄임말. 방송사가 아닌 K-POP 기획사가 직접 만든 소속 아이돌의 리얼리티 영상을 말함.
잘알,	잘 안다', '잘 아는 사람'이라는 뜻의 신조어.
장비병,	무언가를 시작할 때 필요한 장비부터 구입하는 장비 덕후를 뜻하는 말.
재주행,	이미 본 작품을 다시 반복해서 보는 것을 부르는 말.
재질,	느낌, 톤, 성향을 이르는 MZ세대 유행어.
저메추,	‘저녁 메뉴 추천’의 줄임말. 뭘 먹으면 좋을지 상대에게 메뉴를 추천 받을 때 사용함. 비슷한 용어로 ‘점메추(점심 메뉴 추천)’가 있음.
정권지르기,	Z세대에게 일종의 소취(소원성취)와 비슷한 의미로 쓰임. 휴재 중인 일본 만화 <헌터x헌터>의 연재 재개를 기원하는 유튜버가 매일 정권 지르기 천 번 라이브 방송을 한 데서 유래.
젠더뉴트럴,	남녀를 구분짓지 않는 성 중립적인 패션을 일컫는 말.
젶크,	‘제페토 크루’를 줄여서 부르는 말로, 제페토를 함께 즐길 ‘파티원’을 뜻함.
존버,	엄청나게 버티다라는 뜻.
좋댓공,	SNS 게시물에 좋아요 누르고, 공유하고, 댓글을 달아 달라는 뜻.
좋댓구알,	좋아요, 댓글, 구독, 알림설정의 줄임말
좋페,	‘좋아요 누르면 페메(페북 메신저) 보낸다’의 줄임말.
준등기깡,	준등기로 배송된 우편물을 뜯어보는 것. 10~20대는 포토 카드 등 소형 굿즈를 준등기로 거래하는 경우가 많아 생긴 신조어.
즈즈즈,	아이돌 그룹 ‘더보이즈’, ‘스트레이키즈’, ‘에이티즈’를 합쳐 부르는 말.
직관,	직접 현장에 찾아가 운동 경기 등을 관람하는 일 ↔집관(집에서 관람)
짠메랑,	‘부메랑(gif 형식으로 사진을 찍어주는 필터)’기능을 활용해 술자리에서 건배하는 모습을 촬영하는 것.
짬바,	짬에서 나오는 바이브의 줄임말. 연륜과 비슷한 의미로 사용됨.
쩝쩝박사,	척척 박사를 변형한 신조어. 먹는 것에 진심인 사람들을 일컬음.
쩝쩝박사,	음식에 대해 식견이 높거나, 맛있는 음식 조합을 잘 아는 사람들을 뜻하는 말
쫌쫌따리,	아주 조금씩 틈틈이를 뜻하는 MZ세대 신조어.
찐,	‘진짜’를 뜻하는 접두어. ‘찐팬’, ‘찐사랑’ 등 진심을 강조하고 싶을 때 쓰임.
찐텐,	‘진짜 텐션’의 줄임말. 텐션이 진짜로 높다는 뜻. 반대말은 ‘억텐(=억지 텐셤)’임
찐후기,	MZ세대가 정말 믿을 만하다고 평가하는 ‘진짜 후기’를 일컫는 말.
차도남,	차가운 도시 남자의 줄임말.
처돌이,	치킨 브랜드 ‘처갓집’의 마스코트 ‘처돌이’에서 유래한 말. 특정 대상을 매우 좋아한다는 뜻.
초멘,	안면이 없다는 뜻의 ‘초면’과 ‘멘션을 합친 트위터 용어.
총공,	총 공격'의 줄임말. 팬들의 단체 행동.
최애,	MZ세대가 최고로 사랑하는 대상, 1순위를 부르는 말.
취뽀,	‘취업 뽀개기’의 줄임말. 취업에 성공했을 때 ‘취뽀했다’라고 함.
취준,	‘취업 준비’의 줄임말.
카공,	카페에서 공부하는 것의 줄임말.
카공족,	카페에서 공부하는 사람들을 일컫는 말.
캐해석,	캐릭터 해석의 줄임말. 특정 인물을 분석해 나름의 이미지를 설정하는 일을 의미함.
커뮤니케이션 코스트,	조직에서 구성원들끼리 소통하기 위해 투입되는 시간, 비용, 노력 등을 의미함.
커미션,	보수를 받고 어떤 일을 처리해주는 행위. 주로 돈을 받고 원하는 콘텐츠(그림, 글)를 제작해줄 때 사용하는 말.
컨셉러,	‘콘셉트(concept)’와 ‘~하는 사람(-er)’의 합성어로, 자신만의 설정을 만들어 행동하는 사람을 일컫는 말.
케미,	‘chemistry’를 줄인 한국식 영어 표현. 사람 사이의 궁합이나 호흡을 지칭하는 신조어임.
코세글자,	MZ세대가 코로나19를 일컫는 말. 트위터에서 ‘코로나’라는 단어를 사용하면 계정이 잠기는 일이 발생해 코로나를 대체하는 표현으로 사용되기 시작함.
코끝모,	코로나 끝나면 모이자를 줄인 신조어.
코덕,	코스메틱(Cosmetic. 화장품) 덕후의 줄임말.
코덕,	화장품(Cosmetic) 덕후를 부르는 말.
코스프레,	‘코스튬 플레이(costume play)’의 줄임말. 게임·만화 속 캐릭터로 분장하고, 그들과 비슷한 행동을 흉내내는 것을 뜻함. 일종의 퍼포먼스라고 볼 수 있음.
코시국,	코로나 시국의 줄임말.
콜렉트북,	포토카드나 사진을 모아두는 앨범
쿠키,	네이버 웹툰에서 유료 결제를 할 수 있는 화폐. ‘유료 결제 한다’라는 뜻으로 ‘쿠키 굽는다’라는 표현을 씀.
크루얼티프리,	‘학대(cruelty)가 없다(free)’는 의미로, 동물 실험을 하지 않거나 동물 유래 원료를 사용하지 않은 제품을 뜻함.
키자니아,	어린이들이 직업을 체험할 수 있는 테마파크. 특정 직업을 생생하게 표현하거나 보여주는 콘텐츠를 볼 때 ‘어른들의 키자니아’라는 댓글이 많이 달림.
킬포,	‘킬링 포인트’의 줄임말. ‘하이라이트’와 비슷한 의미로 사용됨.
킹리적갓심,	합리적 의심'에 접두어 '킹'과 '갓'을 붙여 강조한 신조어.
킹받네,	King +‘열받네’의 합성어. 기본적으로 열받는다는 의미지만, Z세대 사이에선 다양한 의미로 활용됨.
킹정,	King +‘인정’의 합성어. 강한 인정을 의미함
타래,	트위터 기능 중 하나. 답변을 달며 묶음 트윗을 할 수 있음. 주로 긴 정보를 전달할 때 쓰임.
탑꾸,	탑로더 꾸미기의 줄임말. 포토 카드 케이스를 꾸미는 걸 말함.
탑로더,	위로 뚫려있는 입구로 사진이나 카드를 넣어 보관할 수 있는 플라스틱 재질의 보관함
탭꾸,	태블릿 pc 화면 꾸미기
터프팅,	천에 ‘터프팅 건’으로 실을 심어서 만드는 섬유 공예. 요즘 MZ세대 사이에서 인기를 얻고 있는 취미 활동임.
텍대,	‘텍스트 대치’의 줄임말. 스마트폰 특정 자판을 누르면 정해진 문구가 나오도록 설정해둔 기능을 뜻함. Z세대는 보통 이모티콘이 들어간 주접 문구를 텍대로 설정해두고 활용함.
톤그로,	색을 뜻하는 ‘Tone’과 분쟁를 뜻하는 ‘aggro’의 합성어. 본인의 피부 톤에 맞지 않는 색상으로 메이크업해서 어색하다는 뜻으로 쓰임.
트롤,	온라인에서 사람들의 관심을 끌기 위해 일부러 진행에 방해되는 행동을 하는 것. 또는 그런 사람을 뜻함.
트수,	스트리밍 플랫폼 ‘트위치’와 ‘백수’가 결합된 단어. 트위치를 시청하는 데 많은 시간을 보낸다는 뜻으로, 트위치 애청자를 상징하는 말로 쓰임.
트시피,	트위터+레시피를 합친 말. 트위터에서 유행하는 레시피를 뜻함.
트위터예절,	최애 포토카드와 함께 음식 사진을 찍는 것. 이때 사용하는 포토카드를 ‘예절 포카’라고 부름.
트친,	트위터 친구의 줄임말.
트친소,	‘트위터 친구를 소개 받습니다’의 줄임말. 트위터에서 공개적으로 친구를 모집하는 일을 뜻함.
틱톡,	바이트댄스에서 2016년 출시한 숏폼 서비스.
틱톡커,	틱톡(Tik Tok)에 영상을 찍어 올리는 유저를 일컫는 말. (유사어: 유튜버, 인스타그래머)
팅글,	기분 좋은 소름'을 뜻하는 ASMR 용어.
파이프라인,	돈이 들어오는 시스템, 수입원.
파츠,	각종 액세서리 부자재를 일컫는 말. Z세대는 보통 아이돌 포토 카드를 꾸밀 때 파츠를 활용함.
파티원,	게임 용어로 함께 퀘스트를 깨러 갈 팀원이라는 의미.
판플레이,	대학내일20대연구소가 정의한 2020 MZ세대 특징 중 하나. MZ세대가 스스로 참여할 수 있는 놀이 ‘판’을 만들어 즐기는 것을 의미함.
팔로인,	follow(따르다) + 人(사람)의 합성어로, 신뢰하는 사람을 통해 정보를 얻는 MZ세대를 가리키는 말.
팔이피플,	팔이+people의 합성어로, SNS나 쇼핑몰에서 물건을 판매하는 사람들을 지칭하는 말.
팡인,	‘광인’을 야민정음 방식으로 표기한 것. 특정 일에 미친듯이 몰두하는 사람을 지칭함.
팬싸,	팬 사인회의 줄임말.
퍼블리시티권,	유명인이 자신의 성명이나 초상을 상품 등의 선전에 이용하는 것을 허락하는 권리.
퍼컬,	‘퍼스널 컬러’의 줄임말. 퍼스널 컬러란, 개인의 피부톤에 어울리는 컬러를 뜻하는 말로 요즘 MZ세대는 자신의 퍼스널 컬러에 맞춰 의상, 화장품 등을 구입하려고 함.
펀슈머,	‘Fun(재미)’과 ‘Consumer(소비자)’의 합성어로, 소비 과정에서 재미를 추구하는 소비자를 일컫는 말.
페메,	페이스북 메시지의 줄임말.
포카,	포토 카드의 줄임말. 얼굴이 인쇄 된 명함 사이즈의 카드를 의미한다. 요즘 아이돌 앨범에 필수로 들어있는 굿즈임.
포카슬리브,	포토카드 사이즈로 제작된 얇은 포장용 비닐.
포토카드,	아이돌 멤버의 사진으로 만든 카드로, 주로 앨범 당 한 장씩 들어있는 굿즈. 줄여서 ‘포카’라고 부름.
폰,	MZ세대가 ‘가짜’를 표현할 때 쓰는 접두어. ex) 폰여행=가짜 여행, 폰콘서트=가짜 콘서트
폰꾸,	폰꾸미기의 줄임말. 주로 휴대폰 배경화면이나 앱 아이콘을 커스텀 하는 것을 뜻함.
폴꾸,	폴라로이드 꾸미기, 포토카드를 폴라로이드 형태로 인쇄해서 꾸미는 것.
프롬,	미국 고등학교에서 학년의 마지막에 열리는 공식적인 댄스 파티. 서양 하이틴이 유행하면서 <클루리스> 등 하이틴 영화에 나오는 ‘프롬파티’ 소재가 Z세대의 뜨거운 관심을 받았음.
프사,	‘프로필 사진’의 줄임말.
플래그,	앞날을 암시하는 복선의 의미로 사용됨. (용례: 가지 말라는 데 꼭 가네? 사망 플래그다!)
플로깅,	줍다라는 뜻의 스웨덴어 ‘plocka upp’과 영단어 ‘jogging(조깅)’의 합성어. 조깅을 하면서 쓰레기를 줍는 운동을 뜻함. 최근 MZ세대 사이의 새로운 취미로 떠올랐음.
플리,	‘플레이리스트’의 줄임말
플미,	‘프리미엄’의 줄임말. 주로 희소성있는 제품이 판매가보다 비싸게 거래될 때 ‘플미붙었다’고 표현함.
핀스타,	가짜 계정. ‘Fake Instagram’의 줄임말.
필환경,	필(必)과 환경의 합성어로 환경을 필수로 생각해야 한다는 뜻.
하울,	구매한 물건을 보여주면서 품평하는 유튜브 콘텐츠 포맷.
하이라이트,	인스타 스토리를 프로필란에 고정할 수 있는 기능.
하지만꽃,	벚꽃을 다르게 부르는 말. '벚꽃 = But꽃 = 하지만꽃'으로 바꿔 부른 카카오톡 짤에서 유래.
학예사,	박물관, 미술관 등에서 작품 등을 수집, 전시 기획 등을 하는 전문 직업.
한줌단,	다 모아도 한 줌이 될 것 같은 적은 수의 집단을 부르는 말. MZ세대가 비주류를 지칭할 때 사용함.
할매니얼,	‘할매’와 ‘밀레니얼’ 세대의 합성어. 레트로 취향의 음식과 패션을 선호하는 밀레니얼 세대를 의미.
합방,	합동방송의 줄임말. 주로 인터넷 방송에서 합동 콘텐츠를 찍는 것을 부르는 말.
헤르미온느,	<해리 포터> 시리즈에 나오는 해리의 친구이자 모범생 캐릭터. 시간을 돌릴 수 있는 시계를 이용해 많은 수업을 듣는다. 시간 관리를 잘 하거나 열심히 사는 사람을 일컬어 헤르미온느라고 부름.
헤메코,	헤어 메이크업 코디를 합쳐 부르는 말
현질,	유료 게임 아이템을 사는 행위를 뜻함.
현활,	SNS에서 현재 활동중이라는 뜻.
혜자,	가성비가 좋다, 넉넉하고 인심이 후하다는 뜻. 배우 김혜자가 모델이었던 편의점 도시락이 가성비가 좋았던 것에서 유래함.
혼코노,	‘혼자서 코인 노래방 가는 사람(or 행위)’의 줄임말.
홈마,	홈페이지 마스터의 줄임말. 아이돌 팬 페이지를 운영하며, 고화질 카메라로 아이돌 스케줄 사진과 동영상을 찍는 팬을 의미함.
홈술,	집에서 술을 마시는 것. 코로나19 이후 증가한 트렌드.
홈쿡,	집에서 하는 요리.
홈트,	‘홈 트레이닝’의 줄임말. 집에서 운동하는 것을 뜻함.
화력,	단체의 행동력. 머릿수로 결정되기 때문에 ‘화력을 모으자’는 말은 참여 인원을 최대한 모으자는 것과 같은 의미.
힙,	유행에 민감하고 인기가 많음을 의미하는 단어. '힙하다', '힙한 OO'로 쓰임. (유사어: 트렌디하다)
DM,	다이렉트 메시지(Direct Message)의 줄임말.
FOMO,	‘Fear Of Missing Out’의 약자로 소외되거나 뒤처지는 것에 대한 두려움을 뜻함.
K패치,	외국에서 온 물건이나 문화가 한국의 특성을 반영해 변형된 것을 뜻함.
MZ세대,	1980년 초반부터 2000년대 중반 사이에 태어난 밀레니얼 세대와 Z세대를 통칭하는 말.
OOTD,	‘Outfit Of The Day’의 줄임말. 데일리룩을 올릴 때 사용하는 해시태그.
OO깡,	덕질 용어에서 처음 시작된 단어로 깡은 깐다의 줄임말. 원하는 제품을 깐다는 말로 해석할 수 있다. 비슷한 단어로는 언박싱이 있다.
OTT,	‘Over The Top’의 줄임말로 넷플릭스, 티빙, 웨이브 등의 온라인 동영상 서비스를 일컬음.
P2P,	금융기관을 거치지 않고 개인과 개인이 온라인 플랫폼을 통해 자금을 빌려주고 이에 대한 이자를 받는 방식.
PTSD,	외상 후 스트레스 장애의 약자. 일상에서는 “과거의 (안 좋은) 경험이 떠올라서 소름 돋는다.”라는 뉘앙스로 활용됨.
RT,	‘리트윗(Re Tweet)’의 약자. 트위터에서 다른 계정의 게시물을 자신의 계정에 공유하는 기능을 의미함.
TMI,	너무 많은 정보, 굳이 알려주지 않아도 될 정보를 일컫는 말(Too Much Information).
TMT,	Too Much Talker의 줄임말로, 말이 많은 사람이라는 뜻.
VSCO,	사진 보정 앱. 포토샵처럼 세세한 조절도 가능하다. 이런 감성을 묶어 부르는 VSCO girl이란 말도 있음.
Z세대,	1996년 이후 출생~2000년대 중후반 출생자.
